MOVIE_KEY,title,genres
M1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
M2,Jumanji (1995),Adventure|Children|Fantasy
M3,Grumpier Old Men (1995),Comedy|Romance
M4,Waiting to Exhale (1995),Comedy|Drama|Romance
M5,Father of the Bride Part II (1995),Comedy
M6,Heat (1995),Action|Crime|Thriller
M7,Sabrina (1995),Comedy|Romance
M8,Tom and Huck (1995),Adventure|Children
M9,Sudden Death (1995),Action
M10,GoldenEye (1995),Action|Adventure|Thriller
M11,"American President, The (1995)",Comedy|Drama|Romance
M12,Dracula: Dead and Loving It (1995),Comedy|Horror
M13,Balto (1995),Adventure|Animation|Children
M14,Nixon (1995),Drama
M15,Cutthroat Island (1995),Action|Adventure|Romance
M16,Casino (1995),Crime|Drama
M17,Sense and Sensibility (1995),Drama|Romance
M18,Four Rooms (1995),Comedy
M19,Ace Ventura: When Nature Calls (1995),Comedy
M20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
M21,Get Shorty (1995),Comedy|Crime|Thriller
M22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
M23,Assassins (1995),Action|Crime|Thriller
M24,Powder (1995),Drama|Sci-Fi
M25,Leaving Las Vegas (1995),Drama|Romance
M26,Othello (1995),Drama
M27,Now and Then (1995),Children|Drama
M28,Persuasion (1995),Drama|Romance
M29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
M30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
M31,Dangerous Minds (1995),Drama
M32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
M34,Babe (1995),Children|Drama
M36,Dead Man Walking (1995),Crime|Drama
M38,It Takes Two (1995),Children|Comedy
M39,Clueless (1995),Comedy|Romance
M40,"Cry, the Beloved Country (1995)",Drama
M41,Richard III (1995),Drama|War
M42,Dead Presidents (1995),Action|Crime|Drama
M43,Restoration (1995),Drama
M44,Mortal Kombat (1995),Action|Adventure|Fantasy
M45,To Die For (1995),Comedy|Drama|Thriller
M46,How to Make an American Quilt (1995),Drama|Romance
M47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
M48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
M49,When Night Is Falling (1995),Drama|Romance
M50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
M52,Mighty Aphrodite (1995),Comedy|Drama|Romance
M53,Lamerica (1994),Adventure|Drama
M54,"Big Green, The (1995)",Children|Comedy
M55,Georgia (1995),Drama
M57,Home for the Holidays (1995),Drama
M58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
M60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
M61,Eye for an Eye (1996),Drama|Thriller
M62,Mr. Holland's Opus (1995),Drama
M63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
M64,Two if by Sea (1996),Comedy|Romance
M65,Bio-Dome (1996),Comedy
M66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
M68,French Twist (Gazon maudit) (1995),Comedy|Romance
M69,Friday (1995),Comedy
M70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
M71,Fair Game (1995),Action
M72,Kicking and Screaming (1995),Comedy|Drama
M73,"Misérables, Les (1995)",Drama|War
M74,Bed of Roses (1996),Drama|Romance
M75,Big Bully (1996),Comedy|Drama
M76,Screamers (1995),Action|Sci-Fi|Thriller
M77,Nico Icon (1995),Documentary
M78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
M79,"Juror, The (1996)",Drama|Thriller
M80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
M81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
M82,Antonia's Line (Antonia) (1995),Comedy|Drama
M83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
M85,Angels and Insects (1995),Drama|Romance
M86,White Squall (1996),Action|Adventure|Drama
